Vf,Re_pipe,mflux_part,Vp,Vsl,dp,vt,Re_vt,flowRegime,n,f,phi,epsilon,beta,dpdz,lossPartBodyForce,lossFluidWallFrict,lossPartWallFrict,lossTotalFrict
3.5,43948.57462269424,5.1,3.124499049910964,0.37550095008903606,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.000666229248211979,0.999333770751788,46.72578415841035,18.469067482539486,16.00701878959611,0.8021585726781763,1.6598901202651994,2.462048692943376
3.5,43948.57462269424,10.5,3.1277693668590865,0.37223063314091354,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.0013702142910933393,0.9986297857089067,96.25490528323313,37.14376057905627,32.921169345488714,0.8015934885654282,3.4209977450021256,4.222591233567554
3.5,43948.57462269424,19.6,3.1332701999796853,0.36672980002031474,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.0025532429345071703,0.9974467570654928,179.8483430946795,68.54269877232609,61.344961568027614,0.8006438793399494,6.397093324958525,7.197737204298474
3.5,43948.57462269424,31.8,3.1406249593018134,0.3593750406981866,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.004132805414505832,0.9958671945854942,292.17083459447855,110.49868788722873,99.29599173450087,0.7993759750406096,10.403320177687256,11.202696152727865
3.5,43948.57462269424,49.1,3.1510156006823373,0.3489843993176627,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.006360113330505527,0.9936398866694944,451.9449696115423,169.72366321598517,152.80994321187498,0.7975881297869972,16.116131874323205,16.913720004110203
3.5,43948.57462269424,59.0,3.15694161359706,0.34305838640293995,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.007628152687189644,0.9923718473128104,543.6397461945202,203.47483498033856,183.27622769707938,0.7965702830272582,19.402037000231932,20.19860728325919
3.5,43948.57462269424,80.7,3.16988080159333,0.33011919840667003,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.010391171647100269,0.9896088283528998,745.3010125413642,277.1024923254127,249.6613294109378,0.7943524260809277,26.646810488393932,27.44116291447486
3.5,43948.57462269424,141.0,3.205487161407019,0.29451283859298094,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.017953907630970444,0.9820460923690295,1310.5769771058704,479.2347108110389,431.36583625967796,0.7882818681953482,47.08059268316559,47.86887455136094
3.595959595959596,45153.513898063924,5.1,3.2182662595474865,0.37769333641210956,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.00064681803343205,0.999353181966568,45.362364960239326,18.091954639132684,15.54063926551321,0.8416114232348721,1.7097039503846019,2.551315373619474
3.595959595959596,45153.513898063924,10.5,3.2215083064806826,0.3744512894789134,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.0013303440121798689,0.9986696559878201,93.44554387966929,36.327794860101925,31.96323436225709,0.8410357876315913,3.523524710213247,4.364560497844838
3.595959595959596,45153.513898063924,19.6,3.2269621153247607,0.3689974806348353,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.0024791118439253454,0.9975208881560746,174.59686639963536,66.99231563356231,59.563866302364694,0.8400683457428898,6.588380985454721,7.428449331197611
3.595959595959596,45153.513898063924,31.8,3.2342550235023113,0.3617045724572847,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.0040131627662061565,0.9959868372337939,283.6345265258419,107.97366867166156,96.42142247097823,0.8387764353319228,10.713469765351405,11.552246200683328
3.595959595959596,45153.513898063924,49.1,3.2445602427361755,0.35139935322342053,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.006176743480537122,0.9938232565194629,438.72924696735134,165.83577366488547,148.40424556085296,0.83695436253811,16.594573741494397,17.431528104032505
3.595959595959596,45153.513898063924,59.0,3.2504385482116325,0.34552104774796355,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.007408733405007999,0.992591266594992,527.7347865161056,198.8169662554464,178.00439584324315,0.8359168346526183,19.976653577550657,20.812570412203275
3.595959595959596,45153.513898063924,80.7,3.2632760686536755,0.33268352730592055,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.010093775340249892,0.9899062246597501,723.4720027969776,270.7815688163381,242.51599875413092,0.8336556100872277,27.43191445211996,28.265570062207185
3.595959595959596,45153.513898063924,141.0,3.2986196965877346,0.29733989937186145,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.017447000776626982,0.982552999223373,1272.0689476692098,468.4626837466996,419.18674390696697,0.8274630461002915,48.448476793632345,49.27593983973264
3.691919191919192,46358.453173433605,5.1,3.311972496306103,0.37994669561308925,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021248804894371014,0.000628517493844802,0.9993714825061552,44.07706931128545,17.74233283083795,15.100945148482161,0.8819022936931709,1.759485388662617,2.641387682355788
3.691919191919192,46358.453173433605,10.5,3.3151879721989745,0.3767312197202175,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021248804894371014,0.0012927515186632263,0.9987072484813367,90.79715151712566,35.56732909758714,31.06002611722188,0.8813161357726272,3.6259868445926284,4.507302980365256
