Vf,Re_pipe,mflux_part,Vp,Vsl,dp,vt,Re_vt,flowRegime,n,f,phi,epsilon,beta,dpdz,lossPartBodyForce,lossFluidWallFrict,lossPartWallFrict,lossTotalFrict
3.5,43948.57462269424,5.1,3.159962531230866,0.3400374687691339,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.0006587523214240102,0.999341247678576,46.20059989984504,16.469107619073355,15.827375959587284,0.6417316594860727,,
3.5,43948.57462269424,10.5,3.163188287797572,0.3368117122024281,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.001354871697725681,0.9986451283022744,95.1737662702062,33.19382835269927,32.55254370952879,0.6412846431704827,,
3.5,43948.57462269424,19.6,3.1686143171745056,0.3313856828254944,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.0025247629402664895,0.9974752370597335,177.83059739029397,61.30122628803627,60.66069289600271,0.6405333920335583,,
3.5,43948.57462269424,31.8,3.175869351421838,0.3241306485781621,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.0040869413695886845,0.9959130586304114,288.8979555157519,98.83357900793192,98.19404877608832,0.6395302318435921,,
3.5,43948.57462269424,49.1,3.1861196612254474,0.31388033877455257,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.006290038811292638,0.9937099611887074,446.89328610330165,151.7644278189793,151.1263123164692,0.6381155025100853,,
3.5,43948.57462269424,59.0,3.19196592892827,0.30803407107173,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.0075444516605936455,0.9924555483394063,537.5706500563656,181.90251232496146,181.26520234953367,0.6373099754277872,,
3.5,43948.57462269424,80.7,3.2047317157342863,0.2952682842657137,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.010278169416954443,0.9897218305830455,737.0030840506776,247.58185928207763,246.9463047763019,0.6355545057757228,,
3.5,43948.57462269424,141.0,3.2398658659495876,0.2601341340504124,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,0.017763396013709774,0.9822366039862902,1296.093876433015,427.41929625120804,426.78854841872504,0.6307478324829677,,
3.595959595959596,45153.513898063924,5.1,3.255894056478156,0.34006553948144,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.0006393428707913458,0.9993606571292086,44.83735134431362,16.034332996213802,15.36103882142258,0.6732941747912201,,
3.595959595959596,45153.513898063924,10.5,3.25908988171821,0.3368697142413861,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.0013150034031755007,0.9986849965968245,92.36474234154319,32.2674953686458,31.594656403190008,0.6728389654557863,,
3.595959595959596,45153.513898063924,19.6,3.264466087130353,0.3314935088292432,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.002450630451190395,0.9975493695488096,172.57970782606824,59.55163789492563,58.879564029707396,0.6720738652182401,,
3.595959595959596,45153.513898063924,31.8,3.271655517033523,0.32430407892607294,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.0039672856048437385,0.9960327143951563,280.362509192103,95.99021642986729,95.31916437301507,0.6710520568522241,,
3.595959595959596,45153.513898063924,49.1,3.2818150839698275,0.31414451198976856,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.006106625697596698,0.9938933743024033,433.67870182134294,147.38918592860273,146.71957519847481,0.6696107301279106,,
3.595959595959596,45153.513898063924,59.0,3.287610600691303,0.3083489952682932,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.007324965021099961,0.9926750349789001,521.6669301959278,176.66054205378586,175.99175214921635,0.6687899045695078,,
3.595959595959596,45153.513898063924,80.7,3.300268053444168,0.29569154251542784,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.00998063641401161,0.9900193635859884,715.1753997124889,240.4646905317774,239.79768981919403,0.6670007125833599,,
3.595959595959596,45153.513898063924,141.0,3.335120998473421,0.2608385974861749,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,0.017256051709819822,0.9827439482901802,1257.5865203857281,415.2610448592804,414.59894577525614,0.6620990840242308,,
3.691919191919192,46358.453173433605,5.1,3.3518272217682004,0.3400919701509917,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021248804894371014,0.00062104413960905,0.9993789558603909,43.55222674676881,15.626915264543014,14.921388153657869,0.7055271108851451,,
3.691919191919192,46358.453173433605,10.5,3.354994817978586,0.33692437394060626,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021248804894371014,0.0012774130865264547,0.9987225869134736,89.71668963672121,31.396564197235136,30.691500460212406,0.7050637370227301,,
3.691919191919192,46358.453173433605,19.6,3.360324013030737,0.33159517888845524,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021248804894371014,0.0023807228020207064,0.9976192771979793,167.62970446098453,57.904227241145385,57.19994240276908,0.7042848383763062,,
3.691919191919192,46358.453173433605,31.8,3.3674515047196985,0.3244676871994936,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021248804894371014,0.0038544257633830706,0.996145574236617,272.31613428343,93.31080526543703,92.60756081057744,0.7032444548595873,,
