Vf,Re_pipe,mflux_part,Vp,Vsl,dp,vt,Re_vt,flowRegime,n,f,phi,epsilon,beta,dpdz,lossPartBodyForce,lossFluidWallFrict,lossPartWallFrict,lossTotalFrict
3.5,43948.57462269424,0,-0.0,3.5,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021505965224405448,-2.5197638029388507e-17,1.0,-0.0,1.2843093607449627,-0.0,1.2843093607449627,,
3.595959595959596,45153.513898063924,0,-0.0,3.595959595959596,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021375110957386433,-6.501234857493743e-17,1.0,-0.0,1.3474498320262953,-0.0,1.3474498320262953,,
3.691919191919192,46358.453173433605,0,-0.0,3.691919191919192,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021248804894371014,-2.137691523999528e-17,1.0,-0.0,1.4119310933013167,-0.0,1.4119310933013167,,
3.787878787878788,47563.39244880329,0,-0.0,3.787878787878788,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021126774153371823,-4.3878887955061353e-17,1.0,-0.0,1.4777465564406513,-0.0,1.4777465564406513,,
3.8838383838383836,48768.331724172975,0,-0.0,3.8838383838383836,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.021008768708795592,-5.167225210433133e-18,1.0,-0.0,1.5448898467748209,-0.0,1.5448898467748209,,
3.9797979797979797,49973.270999542656,0,-0.0,3.9797979797979797,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.020894558962441075,-9.809684287302149e-18,1.0,-0.0,1.6133547909479464,-0.0,1.6133547909479464,,
4.075757575757576,51178.210274912344,0,-0.0,4.075757575757576,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.02078393362459467,-2.5633420709389243e-17,1.0,-0.0,1.6831354057438734,-0.0,1.6831354057438734,,
4.171717171717171,52383.14955028202,0,0.0,4.171717171717171,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.02067669785932575,9.194174656932769e-18,1.0,0.0,1.7542258877860166,0.0,1.7542258877860166,,
4.267676767676767,53588.0888256517,0,-0.0,4.267676767676767,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.020572671655746326,-5.4811743450167064e-18,1.0,-0.0,1.8266206040224735,-0.0,1.8266206040224735,,
4.363636363636363,54793.02810102139,0,-0.0,4.363636363636363,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.02047168839329818,-5.0271947032204666e-17,1.0,-0.0,1.9003140829216951,-0.0,1.9003140829216951,,
4.459595959595959,55997.96737639107,0,-0.0,4.459595959595959,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.02037359357420715,-2.5084244666587968e-17,1.0,-0.0,1.9753010063096872,-0.0,1.9753010063096872,,
4.555555555555555,57202.90665176075,0,0.0,4.555555555555555,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.02027824370047748,3.567948312383309e-17,1.0,0.0,2.0515762017895107,0.0,2.0515762017895107,,
4.651515151515151,58407.84592713043,0,-0.0,4.651515151515151,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.02018550527626407,-7.452244023921335e-17,1.0,-0.0,2.129134635689907,-0.0,2.129134635689907,,
4.747474747474747,59612.78520250013,0,0.0,4.747474747474747,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.020095253919341877,2.3937504208286382e-17,1.0,0.0,2.2079714064957936,0.0,2.2079714064957936,,
4.843434343434343,60817.72447786981,0,0.0,4.843434343434343,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.020007373567790476,2.3226256344853294e-17,1.0,0.0,2.2880817387185153,0.0,2.2880817387185153,,
4.9393939393939394,62022.66375323949,0,0.0,4.9393939393939394,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.01992175577001622,1.770730775672624e-17,1.0,0.0,2.3694609771681447,0.0,2.3694609771681447,,
5.0353535353535355,63227.603028609185,0,0.0,5.0353535353535355,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.019838299047916976,1.2796688964955658e-18,1.0,0.0,2.4521045815940825,0.0,2.4521045815940825,,
5.1313131313131315,64432.542303978866,0,-0.0,5.1313131313131315,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.01975690832441081,-1.4730556519140254e-17,1.0,-0.0,2.5360081216635972,-0.0,2.5360081216635972,,
5.227272727272727,65637.48157934853,0,-0.0,5.227272727272727,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.01967749440774733,-3.6306428167510673e-17,1.0,-0.0,2.6211672722510007,-0.0,2.6211672722510007,,
5.3232323232323235,66842.42085471824,0,-0.0,5.3232323232323235,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.01959997352603526,-7.581399084415928e-17,1.0,-0.0,2.7075778090128257,-0.0,2.7075778090128257,,
5.419191919191919,68047.36013008791,0,0.0,5.419191919191919,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.019524266906283436,3.335301490679203e-17,1.0,0.0,2.7952356042267095,0.0,2.7952356042267095,,
5.515151515151516,69252.2994054576,0,0.0,5.515151515151516,6.4e-05,0.3429334173545267,1.435374750782949,Allen,4.292037232663968,0.01945030039298882,5.328136037515671e-17,1.0,0.0,2.8841366228738647,0.0,2.8841366228738647,,
