Vf,mflux_part,Vp,dp,vt,n,f,phi,epsilon,beta,dpdz,lossPartBodyForce,lossFluidWallFrict,lossPartWallFrict,lossTotalFrict
3.5,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.0006510353794220861,0.9993489646205779,51.2613312219251,22.059332603408492,15.64196645384352,6.417366149564974,,
3.5,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.00133906292204145,0.9986609370779586,105.60555759868265,38.58566538937037,32.172717440872574,6.412947948497792,,
3.5,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.002495499515728761,0.9975045004842712,197.3430180630898,66.36312313529345,59.95760129850756,6.405521836785889,,
3.5,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.00403999124525131,0.9959600087547487,320.64226929863247,103.46161516670401,97.06601135584721,6.395603810856794,,
3.5,49.1,0.020040816326530615,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.006218681311054052,0.9937813186889459,496.0963723437659,155.79346939429652,149.4118561436681,6.381613250628431,,
3.5,59.0,0.024081632653061225,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.007459473017240554,0.9925405269827594,596.8244603948602,185.59712605669256,179.2234806080791,6.37364544861348,,
3.5,80.7,0.032938775510204084,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.010164188250209906,0.9898358117497901,818.4395864263216,250.5640369177606,244.2077599246064,6.3562769931542205,,
3.5,141.0,0.05755102040816327,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.01757463217164487,0.9824253678283551,1440.268546611817,428.5619436165262,422.25325313584983,6.308690480676349,,
3.595959595959596,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0006320701253348867,0.9993679298746652,49.7658300245885,21.919292458018067,15.186301711807648,6.73299074621042,,
3.595959595959596,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0013001020424434017,0.9986998979575566,102.52352969761506,37.965122000330524,31.23663195159258,6.728490048737939,,
3.595959595959596,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0024230388050709584,0.997576961194929,191.58026200159526,64.93756361346237,58.216639069485325,6.720924543977045,,
3.595959595959596,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.003923000787408909,0.9960769992125911,311.27144129088293,100.96598332238807,94.25516439601677,6.71081892637131,,
3.595959595959596,49.1,0.020040816326530615,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.006039283154894293,0.9939607168451057,481.5812270276505,151.79814457458144,145.10158356981307,6.696561004768368,,
3.595959595959596,59.0,0.024081632653061225,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.007244743535808862,0.9927552564641912,579.3505997808426,180.7527667966574,174.06432727882793,6.6884395178294795,,
3.595959595959596,80.7,0.032938775510204084,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.009872965793898002,0.990127034206102,794.4422921153074,243.88149653631663,237.2107640066881,6.6707325296285305,,
3.595959595959596,141.0,0.05755102040816327,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0170774265128362,0.9829225734871638,1397.8643410267,416.9294388273582,410.3072445446575,6.622194282700663,,
3.691919191919192,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0006141782717047475,0.9993858217282953,48.35509340283439,21.811746382636073,14.756426803122737,7.055319579513334,,
3.691919191919192,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0012633431326349413,0.998736656867365,99.61620601028505,37.404188331807596,30.353451632553394,7.0507366992542035,,
3.691919191919192,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0023546636038535972,0.9976453363961464,186.14421875716482,63.616868838014504,56.57383648529065,7.043032352723855,,
3.691919191919192,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0038125856082531213,0.9961874143917469,302.4320022165614,98.63503693085566,91.6022970051799,7.032739925675754,,
3.691919191919192,49.1,0.020040816326530615,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.005869923063294156,0.9941300769367059,467.88947441128283,148.05070430326623,141.0324884712014,7.018215832064826,,
3.691919191919192,59.0,0.024081632653061225,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.007041998865594302,0.9929580011344057,562.8681797465382,176.20306591015682,169.19312452943686,7.009941380719957,,
3.691919191919192,80.7,0.032938775510204084,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.009597909312114152,0.9904020906878859,771.8072458571919,237.59407405489264,230.60217652132837,6.991897533564282,,
3.691919191919192,141.0,0.05755102040816327,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.016607420896656098,0.9833925791033439,1357.8711315162177,405.9571649304606,399.01475213367166,6.94241279678893,,
3.787878787878788,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021126774153371823,0.0005972712176675037,0.9994027287823325,47.02211490793138,21.734532682288023,14.350212977510612,7.38431970477741,,
