Vf,mflux_part,Vp,dp,vt,n,f,phi,dpdz,epsilon,beta,fluidWallStress,particleWallStress,dpdz_inv,fluidWallStress_inv,particleWallStress_inv
3.5,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.000657703320089236,-23.900903256463973,0.9993422966799108,51.78716187988545,-0.308031519891451,-0.08070756377793442,23.900903256463973,0.308031519891451,0.08070756377793442
3.5,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.001352746035633392,-42.379505722838125,0.9986472539643666,106.68810348269525,-0.3078172839236852,-0.166328338116067,42.379505722838125,0.3078172839236852,0.166328338116067
3.5,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.0025209007594773716,-73.45242327328367,0.9974790992405226,199.36362689047365,-0.30745721863249365,-0.31099994597269964,73.45242327328367,0.30745721863249365,0.31099994597269964
3.5,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.0040809008177050115,-114.97989685431342,0.995919099182295,323.9203019852247,-0.30697637318988297,-0.5057106737530114,114.97989685431342,0.30697637318988297,0.5057106737530114
3.5,49.1,0.020040816326530615,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.006281193318707589,-173.6136226575406,0.9937188066812924,501.1571051773712,-0.30629816768858353,-0.783293899506281,173.6136226575406,0.30629816768858353,0.783293899506281
3.5,59.0,0.024081632653061225,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.007534145722161774,-207.03487983853879,0.9924658542778382,602.9051684343835,-0.3059119648485057,-0.9429180022037966,207.03487983853879,0.3059119648485057,0.9429180022037966
3.5,80.7,0.032938775510204084,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.010265015034441235,-279.9601819571586,0.9897349849655588,826.7555664451658,-0.3050702174035301,-1.2947663372897162,279.9601819571586,0.3050702174035301,1.2947663372897162
3.5,141.0,0.05755102040816327,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.017744671786814364,-480.2820155191284,0.9822553282131856,1454.7931978444421,-0.3027647310397944,-2.2865156298863902,480.2820155191284,0.3027647310397944,2.2865156298863902
3.595959595959596,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0006387367053713621,-23.81075595398831,0.9993612632946286,50.29150667280685,-0.323181399926384,-0.08310409000559865,23.81075595398831,0.323181399926384,0.08310409000559865
3.595959595959596,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0013137837760678383,-41.86168987374632,0.9986862162239322,103.60576879674593,-0.3229630978314993,-0.17126105840142597,41.86168987374632,0.3229630978314993,0.17126105840142597
3.595959595959596,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.002448441877603492,-72.21864327128665,0.9975515581223965,193.60033001354262,-0.32259616306310207,-0.32020363937222424,72.21864327128665,0.32259616306310207,0.32020363937222424
3.595959595959596,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.00396392270040901,-112.79546254867316,0.996036077299591,314.5486641557517,-0.3221060748118713,-0.5206345476484372,112.79546254867316,0.3221060748118713,0.5206345476484372
3.595959595959596,49.1,0.020040816326530615,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.00610183412917617,-170.09888868561123,0.9938981658708238,486.6408527136675,-0.3214146999969322,-0.8063182813570738,170.09888868561123,0.3214146999969322,0.8063182813570738
3.595959595959596,59.0,0.024081632653061225,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0073194763814846305,-202.7680744880657,0.9926805236185153,585.4300729969682,-0.32102092915333036,-0.9705723828310409,202.7680744880657,0.32102092915333036,0.9705723828310409
3.595959595959596,80.7,0.032938775510204084,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.009973913506494797,-274.0677940831744,0.9900260864935052,802.7568599003174,-0.32016251614735775,-1.3325557625612725,274.0677940831744,0.32016251614735775,1.3325557625612725
3.595959595959596,141.0,0.05755102040816327,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.017247850362365518,-470.0308257193361,0.9827521496376345,1412.387756568683,-0.3178102125486506,-2.352378327463093,470.0308257193361,0.3178102125486506,2.352378327463093
3.691919191919192,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0006208434534590276,-23.7530727401829,0.999379156546541,48.88061573886505,-0.33865308123007326,-0.0854992226419028,23.7530727401829,0.33865308123007326,0.0854992226419028
3.691919191919192,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.001277023322911056,-41.4034215750343,0.998722976677089,100.69813664501672,-0.3384307258475587,-0.17619098724610466,41.4034215750343,0.3384307258475587,0.17619098724610466
3.691919191919192,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0023800679364582794,-71.08961062652875,0.9976199320635417,188.16373956936997,-0.3380569443306388,-0.32940236200427586,71.08961062652875,0.3380569443306388,0.32940236200427586
3.691919191919192,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0038535183851786084,-110.77552050513793,0.9961464816148214,305.7083980669794,-0.337557645809922,-0.5355508643681123,110.77552050513793,0.337557645809922,0.5355508643681123
