Vf,mflux_part,Vp,dp,vt,n,f,phi,epsilon,beta,dpdz,lossPartBodyForce,lossFluidWallFrict,lossPartWallFrict,lossTotalFrict
3.5,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.00065236330458405,0.9993476366954159,51.366049464328185,28.84762101407326,15.673871572202975,12.834715244462789,0.3390341974074957,13.173749441870285
3.5,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.0013417880122898738,0.9986582119877101,105.8211488433604,45.76274672595987,32.2381912562701,12.825860898406434,0.6986945712833412,13.524555469689776
3.5,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.002500558629989763,0.9974994413700102,197.74543944158316,74.19650651104742,60.07915305753331,12.810978698893754,1.3063747546203466,14.1173534535141
3.5,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.004048139707508159,0.9959518602924918,321.2951451870069,112.1770722041864,97.26178869345547,12.791102970250066,2.124180540480866,14.915283510730932
3.5,49.1,0.020040816326530615,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.0062311338449063634,0.9937688661550936,497.10436337964774,165.764055518769,149.7110443643699,12.763066572198948,3.289944582200138,16.053011154399087
3.5,59.0,0.024081632653061225,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.007474348831270731,0.9925256511687293,598.0356497136352,196.28824782612747,179.5808912671437,12.747099845754885,3.960256713228891,16.707356558983776
3.5,80.7,0.032938775510204084,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.01018427676114076,0.9898157232388592,820.096129972097,262.8403371226382,244.69041236412053,12.712295987682122,5.4376287708355235,18.149924758517646
3.5,141.0,0.05755102040816327,6.4e-05,0.3054614541800881,4.341990010719163,0.021505965224405448,0.017608521504060504,0.9823914784959396,1443.1624182600149,445.2852468825977,423.0674881490976,12.616945717484189,9.60081301601588,22.21775873350007
3.595959595959596,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.000633398280823975,0.999366601719176,49.870557124716555,29.033361419216046,15.218212364073965,13.46596359619193,0.34918545895014896,13.81514905514208
3.595959595959596,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0013028278833495277,0.9986971721166504,102.73914096167476,45.478655699556946,31.30212380251163,13.456943368137166,0.7195885289081458,14.176531897045312
3.595959595959596,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.0024281001773619826,0.997571899822638,191.98272626153383,73.12538506800747,58.33824508060087,13.441780888501658,1.3453590989049504,14.787139987406608
3.595959595959596,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.003931154736715529,0.9960688452632844,311.92439844171565,110.0599943558287,94.45107356708779,13.421527982366383,2.187392806374537,15.608920788740921
3.595959595959596,49.1,0.020040816326530615,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.006051748035244034,0.993948251964756,482.5893682554073,162.18148754469956,145.40106843107347,13.392954051527402,3.3874650620986984,16.780419113626103
3.595959595959596,59.0,0.024081632653061225,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.007259636777226283,0.9927403632227737,580.5619860419572,191.87622084142708,174.422156653396,13.376678356702497,4.077385831328594,17.45406418803109
3.595959595959596,80.7,0.032938775510204084,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.009893085667625921,0.9901069143323741,796.0991526497496,256.63304277427017,237.69416997793812,13.341193954052308,5.5976788422797465,18.938872796332056
3.595959595959596,141.0,0.05755102040816327,6.4e-05,0.3054614541800881,4.341990010719163,0.021375110957386433,0.01711140431360386,0.9828885956863962,1400.7589775178708,434.2472698246729,411.123605124408,13.243930731581957,9.879733968682928,23.123664700264882
3.691919191919192,5.1,0.0020816326530612244,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0006155066403439216,0.9993844933596561,48.45982853071654,29.258298614863413,14.788342576595358,14.110620403376817,0.3593356348912366,14.469956038268053
3.691919191919192,10.5,0.004285714285714286,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.0012660696722575204,0.9987339303277425,99.83183539688062,45.26087574855224,30.41896027103832,14.101434901647705,0.7404805758662162,14.841915477513922
3.691919191919192,19.6,0.008,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.002359727086298267,0.9976402729137017,186.5467217799396,72.16582728621592,56.695493195574905,14.085993212564668,1.3843408780763402,15.470334090641009
3.691919191919192,31.8,0.012979591836734694,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.003820744697734962,0.996179255302265,303.08503273351454,108.11429735577853,91.79832967560428,14.065364650630187,2.2506030295440667,16.315967680174253
3.691919191919192,49.1,0.020040816326530615,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.005882399531453716,0.9941176004685462,468.897751104346,158.85349410304298,141.33225174456993,14.036255504996362,3.4849868534766846,17.521242358473046
3.691919191919192,59.0,0.024081632653061225,6.4e-05,0.3054614541800881,4.341990010719163,0.021248804894371014,0.007056908476047077,0.9929430915239529,564.0797435862509,187.76553892841838,169.55134719123632,14.019672248014043,4.194519489168016,18.21419173718206
